State_Name,Season,Crop,Area,Production
Andhra Pradesh,Whole Year ,Coconut ,4133.0,14827800.0
Andhra Pradesh,Kharif     ,Arhar/Tur,4113.0,440.0
Andhra Pradesh,Kharif     ,Maize,261.0,253.0
Andhra Pradesh,Kharif     ,Moong(Green Gram),174.0,26.0
Andhra Pradesh,Kharif     ,Rice,20137.0,50020.0
Andhra Pradesh,Kharif     ,Urad,133.0,7.0
Andhra Pradesh,Rabi       ,Arhar/Tur,17.0,2.0
Andhra Pradesh,Rabi       ,Gram,20.0,16.0
Andhra Pradesh,Rabi       ,Maize,284.0,1968.0
Andhra Pradesh,Rabi       ,Moong(Green Gram),172.0,44.0
Andhra Pradesh,Rabi       ,Rice,30034.0,76827.0
Andhra Pradesh,Rabi       ,Urad,260.0,151.0
Andhra Pradesh,Whole Year ,Banana,960.0,50841.0
Andhra Pradesh,Whole Year ,Coconut ,4296.0,17209269.0
Andhra Pradesh,Whole Year ,Grapes,36.0,673.0
Andhra Pradesh,Whole Year ,Mango,47834.0,335015.0
Andhra Pradesh,Whole Year ,Orange,4.0,39.0
Andhra Pradesh,Whole Year ,Other Fresh Fruits,114.0,153.0
Andhra Pradesh,Whole Year ,Papaya,39.0,5087.0
Andhra Pradesh,Kharif     ,Arhar/Tur,8476.0,636.0
Andhra Pradesh,Kharif     ,Maize,742.0,1273.0
Andhra Pradesh,Kharif     ,Moong(Green Gram),631.0,343.0
Andhra Pradesh,Kharif     ,Rice,18495.0,38562.0
Andhra Pradesh,Kharif     ,Urad,433.0,267.0
Andhra Pradesh,Rabi       ,Arhar/Tur,10.0,1.0
Andhra Pradesh,Rabi       ,Maize,392.0,2195.0
Andhra Pradesh,Rabi       ,Moong(Green Gram),221.0,75.0
Andhra Pradesh,Rabi       ,Rice,27286.0,46714.0
Andhra Pradesh,Rabi       ,Urad,229.0,89.0
Andhra Pradesh,Whole Year ,Banana,587.0,21222.0
Andhra Pradesh,Whole Year ,Coconut ,4294.0,16827552.0
Andhra Pradesh,Whole Year ,Grapes,32.0,555.0
Andhra Pradesh,Whole Year ,Mango,48572.0,234579.0
Andhra Pradesh,Whole Year ,Orange,6.0,96.0
Andhra Pradesh,Whole Year ,Other Fresh Fruits,459.0,149.0
Andhra Pradesh,Whole Year ,Papaya,17.0,1544.0
Andhra Pradesh,Kharif     ,Arhar/Tur,8225.0,1390.0
Andhra Pradesh,Kharif     ,Gram,9.0,8.0
Andhra Pradesh,Kharif     ,Maize,509.0,1461.0
Andhra Pradesh,Kharif     ,Moong(Green Gram),337.0,125.0
Andhra Pradesh,Kharif     ,Rice,19055.0,43331.0
Andhra Pradesh,Kharif     ,Urad,264.0,127.0
Andhra Pradesh,Rabi       ,Gram,2.0,2.0
Andhra Pradesh,Rabi       ,Maize,354.0,2559.0
Andhra Pradesh,Rabi       ,Moong(Green Gram),218.0,71.0
Andhra Pradesh,Rabi       ,Rice,25822.0,69177.0
Andhra Pradesh,Rabi       ,Urad,314.0,199.0
Andhra Pradesh,Whole Year ,Banana,586.0,30560.0
Andhra Pradesh,Whole Year ,Coconut ,4165.0,31934060.0
Andhra Pradesh,Kharif     ,Arhar/Tur,7752.0,1869.0
Andhra Pradesh,Kharif     ,Cotton(lint),4.0,4.0
Andhra Pradesh,Kharif     ,Maize,417.0,2150.0
Andhra Pradesh,Kharif     ,Moong(Green Gram),511.0,354.0
Andhra Pradesh,Kharif     ,Rice,16240.0,37173.0
Andhra Pradesh,Kharif     ,Urad,212.0,73.0
Andhra Pradesh,Rabi       ,Maize,356.0,2660.0
Andhra Pradesh,Rabi       ,Moong(Green Gram),70.0,21.0
Andhra Pradesh,Rabi       ,Rice,66351.0,193612.0
Andhra Pradesh,Rabi       ,Urad,98.0,62.0
Andhra Pradesh,Whole Year ,Banana,468.0,25070.0
Andhra Pradesh,Whole Year ,Coconut ,3914.0,15729168.0
Andhra Pradesh,Kharif     ,Arhar/Tur,5496.0,1533.0
Andhra Pradesh,Kharif     ,Maize,386.0,1378.0
Andhra Pradesh,Kharif     ,Moong(Green Gram),284.0,35.0
Andhra Pradesh,Kharif     ,Rice,17049.0,42520.0
Andhra Pradesh,Kharif     ,Urad,144.0,55.0
Andhra Pradesh,Rabi       ,Arhar/Tur,2.0,1.0
Andhra Pradesh,Rabi       ,Maize,788.0,5971.0
Andhra Pradesh,Rabi       ,Moong(Green Gram),144.0,54.0
Andhra Pradesh,Rabi       ,Rice,29164.0,85101.0
Andhra Pradesh,Rabi       ,Urad,426.0,333.0
Andhra Pradesh,Whole Year ,Banana,556.0,27205.0
Andhra Pradesh,Whole Year ,Coconut ,4307.0,34924554.0
Andhra Pradesh,Kharif     ,Arhar/Tur,7000.0,1000.0
Andhra Pradesh,Kharif     ,Maize,1000.0,3000.0
Andhra Pradesh,Kharif     ,Moong(Green Gram),1000.0,
Andhra Pradesh,Kharif     ,Rice,15000.0,42000.0
Andhra Pradesh,Rabi       ,Maize,1000.0,4000.0
